205294788566,205353056653,0,0.000000,
205361112566,205421017858,0,1.000000,
205427447566,205514418336,0,2.000000,
205460631566,205536421463,0,3.000000,
205493784566,205562221361,0,4.000000,
205526949566,205601517980,0,5.000000,
205560117566,205630467358,0,6.000000,
205593298566,205670105643,0,7.000000,
205626453566,205708400594,0,8.000000,
205659618566,205727437940,0,9.000000,
205692784566,205759865131,0,10.000000,
205725953566,205797210447,0,11.000000,
205792290566,205850726911,0,12.000000,
205825452566,205881769726,0,13.000000,
205858624566,205912169417,0,14.000000,
205891789566,205952551244,0,15.000000,
205924969566,205985675883,0,16.000000,
205991300566,206049741566,0,17.000000,
206024465566,206095167821,0,18.000000,
206057632566,206127616365,0,19.000000,
206090803566,206179186058,0,20.000000,
206123966566,206198452050,0,21.000000,
206157133566,206227292573,0,22.000000,
206190299566,206268920286,0,23.000000,
206223463566,206292404559,0,24.000000,
206256633566,206320327999,0,25.000000,
206289806566,206350117117,0,26.000000,
206322971566,206378241963,0,27.000000,
206356137566,206414558529,0,28.000000,
206422474566,206492364006,0,29.000000,
206455648566,206534679166,0,30.000000,
206488814566,206558687919,0,31.000000,
206521971566,206582093025,0,32.000000,
206555143566,206611072247,0,33.000000,
206588310566,206650795897,0,34.000000,
206621480566,206683625431,0,35.000000,
206654645566,206719644862,0,36.000000,
206687813566,206756146168,0,37.000000,
206720985566,206773107992,0,38.000000,
206754152566,206812735027,0,39.000000,
206787364566,206838369770,0,40.000000,
206820482566,206869958679,0,41.000000,
206853649566,206917854413,0,42.000000,
206886816566,206975483273,0,43.000000,
206920044566,207001388432,0,44.000000,
206986343566,207045236613,0,45.000000,
207019491566,207093803701,0,46.000000,
207052660566,207121857975,0,47.000000,
207085826566,207145807613,0,48.000000,
207152162566,207227311892,0,49.000000,
207251663566,207308194035,0,50.000000,
207284828566,207353615915,0,51.000000,
207317997566,207380378417,0,52.000000,
207351165566,207411927691,0,53.000000,
207384334566,207465383322,0,54.000000,
207517003566,207604165523,0,55.000000,
207583368566,207659304851,0,56.000000,
207616507566,207687796208,0,57.000000,
207682846566,207755741059,0,58.000000,
207716007566,207788214031,0,59.000000,
207782349566,207832178514,0,60.000000,
207815510566,207872371383,0,61.000000,
207848674566,207907593314,0,62.000000,
207881845566,207961907642,0,63.000000,
207915016566,207984420873,0,64.000000,
207948181566,208016875512,0,65.000000,
208014517566,208072890309,0,66.000000,
208047680566,208115374845,0,67.000000,
208114044566,208174486257,0,68.000000,
208147187566,208211023396,0,69.000000,
208180355566,208239132097,0,70.000000,
208213520566,208266200849,0,71.000000,
208246703566,208310296166,0,72.000000,
208279855566,208353545181,0,73.000000,
208313023566,208372674974,0,74.000000,
208346189566,208398007529,0,75.000000,
208379357566,208432685710,0,76.000000,
208412526566,208474638787,0,77.000000,
208445696566,208514563270,0,78.000000,
208478862566,208546453950,0,79.000000,
208512043566,208602061039,0,80.000000,
208545195566,208632861094,0,81.000000,
208578367566,208657352451,0,82.000000,
208611538566,208681987349,0,83.000000,
208644703566,208708130529,0,84.000000,
208677868566,208737039386,0,85.000000,
208711035566,208767690378,0,86.000000,
208744215566,208801441267,0,87.000000,
208777369566,208840867209,0,88.000000,
208810542566,208871223357,0,89.000000,
208843706566,208912512528,0,90.000000,
208876871566,208945735604,0,91.000000,
208910039566,208971653732,0,92.000000,
208976373566,209031175873,0,93.000000,
209009542566,209090136869,0,94.000000,
209042707566,209129837498,0,95.000000,
209075879566,209147887239,0,96.000000,
209109060566,209171074273,0,97.000000,
209142214566,209193843702,0,98.000000,
209175380566,209220174069,0,99.000000,
209208551566,209264934490,0,100.000000,
209241730566,209298072410,0,101.000000,
209274886566,209335399185,0,102.000000,
209308055566,209364315646,0,103.000000,
209341223566,209393638253,0,104.000000,
209374400566,209435596903,0,105.000000,
209407551566,209485699825,0,106.000000,
209440722566,209512614671,0,107.000000,
209473886566,209536986288,0,108.000000,
209507061566,209567320146,0,109.000000,
209540225566,209597601086,0,110.000000,
209573393566,209641888799,0,111.000000,
209606562566,209662154582,0,112.000000,
209639728566,209689968283,0,113.000000,
209672908566,209724928130,0,114.000000,
209706065566,209769402353,0,115.000000,
209739254566,209811220482,0,116.000000,
209805631566,209860889446,0,117.000000,
209838733566,209898062001,0,118.000000,
209871904566,209952767424,0,119.000000,
209938240566,209995364667,0,120.000000,
209971401566,210031256025,0,121.000000,
210004567566,210064012278,0,122.000000,
210037756566,210090821969,0,123.000000,
210070905566,210126739680,0,124.000000,
210104072566,210156249579,0,125.000000,
210137256566,210193168437,0,126.000000,
210170409566,210230099170,0,127.000000,
210203615566,210253470370,0,128.000000,
210236742566,210298535375,0,129.000000,
210269911566,210335750118,0,130.000000,
210303077566,210362011579,0,131.000000,
210336241566,210399605437,0,132.000000,
210402580566,210479706747,0,133.000000,
210502084566,210559848942,0,134.000000,
210535249566,210595377800,0,135.000000,
210568418566,210618925511,0,136.000000,
210601591566,210647546451,0,137.000000,
210634755566,210699413904,0,138.000000,
210667920566,210738029273,0,139.000000,
210701094566,210764199640,0,140.000000,
210734257566,210791045788,0,141.000000,
210767420566,210828209386,0,142.000000,
210800592566,210858096576,0,143.000000,
210833758566,210911943457,0,144.000000,
210866928566,210937006949,0,145.000000,
210900094566,210952442888,0,146.000000,
210933263566,210984711328,0,147.000000,
210966431566,211022064665,0,148.000000,
210999599566,211053798835,0,149.000000,
211032769566,211084426703,0,150.000000,
211065930566,211121926915,0,151.000000,
211099119566,211155837179,0,152.000000,
211132282566,211207493382,0,153.000000,
211165440566,211238721510,0,154.000000,
211198602566,211273230732,0,155.000000,
211231768566,211287881879,0,156.000000,
211264935566,211315981518,0,157.000000,
211298105566,211354706626,0,158.000000,
211331273566,211383058972,0,159.000000,
211364437566,211415980590,0,160.000000,
211397625566,211464919085,0,161.000000,
211430770566,211516470600,0,162.000000,
211497110566,211559334406,0,163.000000,
211563447566,211627116340,0,164.000000,
211596613566,211656887645,0,165.000000,
211629778566,211681299314,0,166.000000,
211662954566,211726327340,0,167.000000,
211696112566,211777651147,0,168.000000,
211729282566,211805591514,0,169.000000,
211762449566,211832897767,0,170.000000,
211795618566,211860376364,0,171.000000,
211861955566,211915145900,0,172.000000,
211895121566,211954638560,0,173.000000,
211928287566,211990108147,0,174.000000,
211961475566,212019205390,0,175.000000,
211994621566,212058710446,0,176.000000,
212060961566,212123973421,0,177.000000,
212094127566,212163996238,0,178.000000,
212127291566,212194137230,0,179.000000,
212160457566,212239214630,0,180.000000,
212193639566,212262321091,0,181.000000,
212226795566,212288168385,0,182.000000,
212259965566,212331856463,0,183.000000,
212293148566,212356357611,0,184.000000,
212326301566,212380313134,0,185.000000,
212359470566,212416428711,0,186.000000,
212392636566,212462866528,0,187.000000,
212425803566,212495684708,0,188.000000,
212458966566,212546487474,0,189.000000,
212558471566,212617781699,0,190.000000,
212624809566,212684037227,0,191.000000,
212657979566,212725444835,0,192.000000,
212691142566,212744148795,0,193.000000,
212724311566,212787634893,0,194.000000,
212757472566,212812370208,0,195.000000,
212790716566,212841725680,0,196.000000,
212823813566,212889025112,0,197.000000,
212856987566,212935201419,0,198.000000,
212923321566,212988156841,0,199.000000,
212956485566,213021312729,0,200.000000,
212989655566,213053453201,0,201.000000,
213022824566,213088083778,0,202.000000,
213055991566,213107850186,0,203.000000,
213089156566,213145304460,0,204.000000,
213122338566,213180789412,0,205.000000,
213155491566,213208020404,0,206.000000,
213188658566,213234955459,0,207.000000,
213221819566,213274314942,0,208.000000,
213254997566,213311415102,0,209.000000,
213288153566,213350647397,0,210.000000,
213321327566,213379733234,0,211.000000,
213354496566,213422146259,0,212.000000,
213387752566,213459121315,0,213.000000,
213420844566,213492188870,0,214.000000,
213454022566,213531080697,0,215.000000,
213487170566,213560627158,0,216.000000,
213520329566,213598459297,0,217.000000,
213586698566,213657655449,0,218.000000,
213619840566,213694616911,0,219.000000,
213653008566,213720080299,0,220.000000,
213686168566,213746178322,0,221.000000,
213719341566,213778227388,0,222.000000,
213752508566,213804157286,0,223.000000,
213785671566,213838371300,0,224.000000,
213818842566,213877129585,0,225.000000,
213852008566,213913534068,0,226.000000,
213885174566,213950156415,0,227.000000,
213918348566,213985204440,0,228.000000,
213951515566,214025361475,0,229.000000,
213984683566,214052633769,0,230.000000,
214017849566,214075060855,0,231.000000,
214051011566,214100981847,0,232.000000,
214084182566,214147336748,0,233.000000,
214117357566,214173114927,0,234.000000,
214150514566,214206370295,0,235.000000,
214183684566,214241624570,0,236.000000,
214216850566,214287269730,0,237.000000,
214250026566,214318317858,0,238.000000,
214283189566,214350413330,0,239.000000,
214316349566,214377589843,0,240.000000,
214349520566,214400604429,0,241.000000,
214382689566,214439324485,0,242.000000,
214415868566,214471462978,0,243.000000,
214449108566,214531458348,0,244.000000,
214482193566,214546270433,0,245.000000,
214515385566,214576763457,0,246.000000,
214548619566,214605254554,0,247.000000,
214581697566,214636242213,0,248.000000,
214614861566,214686434301,0,249.000000,
214648028566,214730893472,0,250.000000,
214681196566,214757433892,0,251.000000,
214714365566,214792188374,0,252.000000,
214747610566,214818873898,0,253.000000,
214780718566,214850717234,0,254.000000,
214813862566,214875306820,0,255.000000,
214847034566,214899402760,0,256.000000,
214880200566,214938786774,0,257.000000,
214946536566,215002607927,0,258.000000,
214979703566,215046446316,0,259.000000,
215012871566,215089525592,0,260.000000,
215079204566,215140397836,0,261.000000,
215112378566,215186326539,0,262.000000,
215178711566,215245690867,0,263.000000,
215211893566,215282379934,0,264.000000,
215245045566,215321257281,0,265.000000,
215278265566,215361253483,0,266.000000,
215311415566,215389636142,0,267.000000,
215344548566,215416419843,0,268.000000,
215377719566,215439396772,0,269.000000,
215410884566,215464385733,0,270.000000,
215444052566,215500444278,0,271.000000,
215477219566,215531524802,0,272.000000,
215510426566,215563843972,0,273.000000,
215543553566,215597906163,0,274.000000,
215576723566,215655309762,0,275.000000,
215609890566,215676983046,0,276.000000,
215643059566,215715297164,0,277.000000,
215676235566,215737901177,0,278.000000,
215742556566,215797104829,0,279.000000,
215775728566,215851705928,0,280.000000,
215808891566,215885489317,0,281.000000,
215875225566,215927278435,0,282.000000,
215908399566,215964548960,0,283.000000,
215941564566,216007215423,0,284.000000,
215974733566,216035930738,0,285.000000,
216007900566,216062179751,0,286.000000,
216041071566,216113994235,0,287.000000,
216074229566,216143836686,0,288.000000,
216107400566,216174038720,0,289.000000,
216140572566,216206096744,0,290.000000,
216173740566,216228738101,0,291.000000,
216206904566,216263668625,0,292.000000,
216240081566,216298246337,0,293.000000,
